Unnamed: 0,date,S308.DS_FLOW_cmd
7285,2009-12-13,117435.62621952
7286,2009-12-14,225084.95025408
7287,2009-12-15,264230.15899392
7288,2009-12-16,-344967.15201984
7289,2009-12-17,-440383.5983232
7290,2009-12-18,-716846.63504832
7291,2009-12-19,-447723.32496192
7292,2009-12-20,-636109.6420224
7293,2009-12-21,-318054.8210112
7294,2009-12-22,-4893.15109248
7295,2009-12-23,90523.29521088
7296,2009-12-24,61164.388656
7297,2009-12-25,-207958.9214304
7298,2009-12-26,-132115.07949696
7299,2009-12-27,24465.7554624
7300,2009-12-28,66057.53974848
7301,2009-12-29,-80736.99302592
7302,2009-12-30,185939.74151424
7303,2009-12-31,171260.2882368
7304,2010-01-01,-26912.33100864
7305,2010-01-02,-344967.15201984
7306,2010-01-03,445276.74941568
7307,2010-01-04,418364.41840704
7308,2010-01-05,763331.57042688
7309,2010-01-06,548032.92235776
7310,2010-01-07,132115.07949696
7311,2010-01-08,-168813.71269056
7312,2010-01-09,242210.97907776
7313,2010-01-10,193279.46815296
7314,2010-01-11,222638.37470784
7315,2010-01-12,-31805.48210112
7316,2010-01-13,-293589.0655488
7317,2010-01-14,-423257.56949952
7318,2010-01-15,-18349.3165968
7319,2010-01-16,163920.56159808
7320,2010-01-17,-508887.71361792
7321,2010-01-18,-374326.05857472
7322,2010-01-19,-296035.64109504
7323,2010-01-20,-220191.7991616
7324,2010-01-21,-114989.05067328
7325,2010-01-22,-85630.1441184
7326,2010-01-23,-4403.835983232
7327,2010-01-24,193279.46815296
7328,2010-01-25,-20061.919479168
7329,2010-01-26,-173706.86378304
7330,2010-01-27,-276463.03672512
7331,2010-01-28,217745.22361536
7332,2010-01-29,386558.93630592
7333,2010-01-30,-266676.73454016
7334,2010-01-31,-369432.90748224
7335,2010-02-01,-117435.62621952
7336,2010-02-02,-251997.28126272
7337,2010-02-03,-435490.44723072
7338,2010-02-04,122328.777312
7339,2010-02-05,-112542.47512704
7340,2010-02-06,156580.83495936
7341,2010-02-07,-239764.40353152
7342,2010-02-08,-70950.69084096
7343,2010-02-09,-237317.82798528
7344,2010-02-10,207958.9214304
7345,2010-02-11,85630.1441184
7346,2010-02-12,24465.7554624
7347,2010-02-13,200619.19479168
7348,2010-02-14,-105202.74848832
7349,2010-02-15,-190832.89260672
7350,2010-02-16,-10764.932403456
7351,2010-02-17,271569.88563264
7352,2010-02-18,95416.44630336
7353,2010-02-19,-70950.69084096
7354,2010-02-20,-19083.289260672
7355,2010-02-21,151687.68386688
7356,2010-02-22,-254443.85680896
7357,2010-02-23,139454.80613568
7358,2010-02-24,151687.68386688
7359,2010-02-25,-149241.10832064
7360,2010-02-26,-347413.72756608
7361,2010-02-27,-156580.83495936
7362,2010-02-28,6605.753974848
7363,2010-03-01,-151687.68386688
7364,2010-03-02,-154134.25941312
7365,2010-03-03,496654.83588672
7366,2010-03-04,261783.58344768
7367,2010-03-05,44038.35983232
7368,2010-03-06,-193279.46815296
7369,2010-03-07,-166367.13714432
7370,2010-03-08,68504.11529472
7371,2010-03-09,31805.48210112
7372,2010-03-10,535800.04462656
7373,2010-03-11,366986.331936
7374,2010-03-12,-249550.70571648
7375,2010-03-13,-97863.0218496
7376,2010-03-14,-63610.96420224
7377,2010-03-15,-6605.753974848
7378,2010-03-16,39145.20873984
7379,2010-03-17,-132115.07949696
7380,2010-03-18,198172.61924544
7381,2010-03-19,-34252.05764736
7382,2010-03-20,-56271.23756352
7383,2010-03-21,-88076.71966464
7384,2010-03-22,-276463.03672512
7385,2010-03-23,-166367.13714432
7386,2010-03-24,-41591.78428608
7387,2010-03-25,-352306.87865856
7388,2010-03-26,-606750.73546752
7389,2010-03-27,2108948.12085888
7390,2010-03-28,2764630.3672512
7391,2010-03-29,736419.23941824
7392,2010-03-30,981076.79404224
7393,2010-03-31,440383.5983232
7394,2010-04-01,1118085.02463168
7395,2010-04-02,2297334.43791936
7396,2010-04-03,2126074.14968256
7397,2010-04-04,1998852.22127808
7398,2010-04-05,2380518.00649152
7399,2010-04-06,2258189.22917952
7400,2010-04-07,2003745.37237056
7401,2010-04-08,2157879.63178368
7402,2010-04-09,1741961.78892288
7403,2010-04-10,1338276.82379328
7404,2010-04-11,1257539.83076736
7405,2010-04-12,217745.22361536
7406,2010-04-13,20306.577033792
7407,2010-04-14,425704.14504576
7408,2010-04-15,1330937.09715456
7409,2010-04-16,1330937.09715456
7410,2010-04-17,885660.34773888
7411,2010-04-18,425704.14504576
7412,2010-04-19,122328.777312
7413,2010-04-20,707060.33286336
7414,2010-04-21,129668.50395072
7415,2010-04-22,1113191.8735392
7416,2010-04-23,1771320.69547776
7417,2010-04-24,1365189.15480192
7418,2010-04-25,1536449.44303872
7419,2010-04-26,337627.42538112
7420,2010-04-27,-102756.17294208
7421,2010-04-28,-63610.96420224
7422,2010-04-29,293589.0655488
7423,2010-04-30,836728.83681408
7424,2010-05-01,384112.36075968
7425,2010-05-02,114989.05067328
7426,2010-05-03,3498603.0311232
7427,2010-05-04,4550630.5160064
7428,2010-05-05,4110246.9176832
7429,2010-05-06,4232575.6949952
7430,2010-05-07,4550630.5160064
7431,2010-05-08,4721890.8042432
7432,2010-05-09,4159178.428608
7433,2010-05-10,4746356.5597056
7434,2010-05-11,4844219.5815552
7435,2010-05-12,5406931.9571904
7436,2010-05-13,6997206.0622464
7437,2010-05-14,6997206.0622464
7438,2010-05-15,6067507.3546752
7439,2010-05-16,4550630.5160064
7440,2010-05-17,4012383.8958336
7441,2010-05-18,2935890.655488
7442,2010-05-19,2911424.9000256
7443,2010-05-20,3229479.7210368
7444,2010-05-21,3229479.7210368
7445,2010-05-22,3596466.0529728
