Unnamed: 0,date,S65E_S_FLOW_cmd
6377,2007-06-19,0.0
6378,2007-06-20,0.0
6379,2007-06-21,0.0
6380,2007-06-22,0.0
6381,2007-06-23,0.0
6382,2007-06-24,0.0
6383,2007-06-25,0.0
6384,2007-06-26,0.0
6385,2007-06-27,0.0
6386,2007-06-28,0.0
6387,2007-06-29,0.0
6388,2007-06-30,0.0
6389,2007-07-01,0.0
6390,2007-07-02,0.0
6391,2007-07-03,0.0
6392,2007-07-04,0.0
6393,2007-07-05,0.0
6394,2007-07-06,0.0
6395,2007-07-07,0.0
6396,2007-07-08,0.0
6397,2007-07-09,0.0
6398,2007-07-10,0.0
6399,2007-07-11,0.0
6400,2007-07-12,0.0
6401,2007-07-13,0.0
6402,2007-07-14,0.0
6403,2007-07-15,0.0
6404,2007-07-16,0.0
6405,2007-07-17,495774.068690074
6406,2007-07-18,135002.038641523
6407,2007-07-19,0.0
6408,2007-07-20,550283.771860301
6409,2007-07-21,1554456.23905905
6410,2007-07-22,2079931.73488047
6411,2007-07-23,1862749.22364075
6412,2007-07-24,2482197.68619325
6413,2007-07-25,3789721.0553703
6414,2007-07-26,3543987.00750595
6415,2007-07-27,3217613.82963754
6416,2007-07-28,2993189.45478094
6417,2007-07-29,2737889.2965308
6418,2007-07-30,2920208.1062366
6419,2007-07-31,2651745.37154769
6420,2007-08-01,3151482.89262267
6421,2007-08-02,3382782.1447642
6422,2007-08-03,3667979.4561894
6423,2007-08-04,3944051.04082712
6424,2007-08-05,3175337.00419851
6425,2007-08-06,2350865.51087109
6426,2007-08-07,2431162.12029869
6427,2007-08-08,2233209.69285241
6428,2007-08-09,1868523.14192988
6429,2007-08-10,1319144.60302168
6430,2007-08-11,1440568.14738157
6431,2007-08-12,1731881.89767237
6432,2007-08-13,1747246.39210276
6433,2007-08-14,1337200.33055293
6434,2007-08-15,2289750.05372602
6435,2007-08-16,2889332.32284305
6436,2007-08-17,3320883.78344433
6437,2007-08-18,1854235.14073983
6438,2007-08-19,2007146.11237983
6439,2007-08-20,1710107.37531084
6440,2007-08-21,1503763.19374095
6441,2007-08-22,1290544.13488614
6442,2007-08-23,0.0
6443,2007-08-24,1789816.80660733
6444,2007-08-25,1648673.86334475
6445,2007-08-26,637577.587350144
6446,2007-08-27,1728652.41795133
6447,2007-08-28,1266102.8451792
6448,2007-08-29,676918.522133683
6449,2007-08-30,1319389.26057631
6450,2007-08-31,1396260.66423917
6451,2007-09-01,831884.617232525
6452,2007-09-02,1938079.28470948
6453,2007-09-03,1813352.86336216
6454,2007-09-04,2200009.66268993
6455,2007-09-05,1239704.29503527
6456,2007-09-06,1639645.99957912
6457,2007-09-07,1101032.39307439
6458,2007-09-08,1416542.7755175
6459,2007-09-09,1268818.54403553
6460,2007-09-10,1322374.08274272
6461,2007-09-11,1442745.59961773
6462,2007-09-12,1792336.77941996
6463,2007-09-13,911545.117018099
6464,2007-09-14,1299229.47807529
6465,2007-09-15,1149817.10946641
6466,2007-09-16,1281907.72320791
6467,2007-09-17,1081190.66539438
6468,2007-09-18,1024772.63329809
6469,2007-09-19,1241686.02122772
6470,2007-09-20,1515702.4824066
6471,2007-09-21,512655.43995913
6472,2007-09-22,1244695.3091496
6473,2007-09-23,1000380.27510207
6474,2007-09-24,1358583.40082707
6475,2007-09-25,1699660.49772839
6476,2007-09-26,1434671.90031514
6477,2007-09-27,1406316.08973421
6478,2007-09-28,1369666.38805154
6479,2007-09-29,1268011.17410527
6480,2007-09-30,1178735.63242297
6481,2007-10-01,1123540.8880998
6482,2007-10-02,1416395.98098472
6483,2007-10-03,1702718.71716119
6484,2007-10-04,1561159.85605574
6485,2007-10-05,1671427.01592478
6486,2007-10-06,2292147.69776133
6487,2007-10-07,2585834.62633198
6488,2007-10-08,2524890.42947514
6489,2007-10-09,2484057.0836084
6490,2007-10-10,2490197.98822946
6491,2007-10-11,2492571.16650931
6492,2007-10-12,2538884.84159964
6493,2007-10-13,2470821.10990324
6494,2007-10-14,2040737.59462971
6495,2007-10-15,1820252.20640256
6496,2007-10-16,1886945.85579306
6497,2007-10-17,1425277.05021757
6498,2007-10-18,1120604.99744431
6499,2007-10-19,1225612.01988893
6500,2007-10-20,2218799.36288506
6501,2007-10-21,1732224.41824884
6502,2007-10-22,1550052.40307581
6503,2007-10-23,1498087.13847368
6504,2007-10-24,1340747.86509498
6505,2007-10-25,1437950.3115471
6506,2007-10-26,1485022.42505676
6507,2007-10-27,1327462.9598789
6508,2007-10-28,1329297.89153858
6509,2007-10-29,1462146.94369941
6510,2007-10-30,1377519.89555497
6511,2007-10-31,2259852.90055096
6512,2007-11-01,643938.683770368
6513,2007-11-02,1686669.18157786
6514,2007-11-03,1520204.18141169
6515,2007-11-04,1382682.16995754
6516,2007-11-05,965614.436590003
6517,2007-11-06,1107589.21553831
6518,2007-11-07,1099148.52990378
6519,2007-11-08,963118.929532839
6520,2007-11-09,471259.381716749
6521,2007-11-10,317638.903168339
6522,2007-11-11,329382.465790291
6523,2007-11-12,439576.228392941
6524,2007-11-13,649932.793858656
6525,2007-11-14,627057.312501312
6526,2007-11-15,570932.869470567
6527,2007-11-16,423942.610652467
6528,2007-11-17,376038.661457088
6529,2007-11-18,292781.695618541
6530,2007-11-19,422401.268058336
6531,2007-11-20,408186.664134682
6532,2007-11-21,221757.607511194
6533,2007-11-22,421080.117263366
6534,2007-11-23,226332.703782662
6535,2007-11-24,330948.274139885
6536,2007-11-25,173144.151407405
6537,2007-11-26,83550.554904096
6538,2007-11-27,549305.141641805
6539,2007-11-28,396247.37546903
6540,2007-11-29,319302.574539782
6541,2007-11-30,260902.816251034
6542,2007-12-01,289943.667984902
6543,2007-12-02,271814.543187264
6544,2007-12-03,255911.802136704
6545,2007-12-04,578615.11668576
6546,2007-12-05,340245.261215597
6547,2007-12-06,200521.33176983
6548,2007-12-07,298384.35361943
6549,2007-12-08,372833.647491514
6550,2007-12-09,331657.781048294
6551,2007-12-10,136054.066126406
6552,2007-12-11,327620.931396998
6553,2007-12-12,297161.06584631
6554,2007-12-13,18447.1796186496
6555,2007-12-14,473852.751795763
6556,2007-12-15,477987.464468909
6557,2007-12-16,476152.532809229
6558,2007-12-17,569562.787164672
6559,2007-12-18,240791.965260941
6560,2007-12-19,304867.778816966
6561,2007-12-20,321724.68433056
6562,2007-12-21,295326.13418663
6563,2007-12-22,342275.918918976
6564,2007-12-23,424994.63813735
6565,2007-12-24,304598.65550688
6566,2007-12-25,382130.634567226
6567,2007-12-26,368943.592372992
6568,2007-12-27,320672.656845677
6569,2007-12-28,184985.577051206
6570,2007-12-29,260217.775098086
6571,2007-12-30,248547.609742522
6572,2007-12-31,443050.365668602
6573,2008-01-01,454451.40771408
6574,2008-01-02,609808.95490032
6575,2008-01-03,419636.637691085
6576,2008-01-04,0.0
6577,2008-01-05,153106.697683699
6578,2008-01-06,257746.733796384
6579,2008-01-07,219188.703187642
6580,2008-01-08,665052.630734419
6581,2008-01-09,393874.197189178
6582,2008-01-10,405544.362544742
6583,2008-01-11,363022.879551091
6584,2008-01-12,518820.810335654
6585,2008-01-13,293295.476483251
6586,2008-01-14,309760.929909446
6587,2008-01-15,311718.190346438
6588,2008-01-16,301785.093628704
6589,2008-01-17,294323.038212672
6590,2008-01-18,218650.456567469
6591,2008-01-19,426584.912242406
6592,2008-01-20,505193.384543098
6593,2008-01-21,523395.906607123
6594,2008-01-22,293686.92857065
6595,2008-01-23,322213.999439808
6596,2008-01-24,494281.657606867
6597,2008-01-25,393507.210857242
6598,2008-01-26,280132.90004448
6599,2008-01-27,272646.378872986
6600,2008-01-28,274407.913266278
6601,2008-01-29,212656.346479181
6602,2008-01-30,157681.793955168
6603,2008-01-31,228461.224507891
6604,2008-02-01,292194.517487443
6605,2008-02-02,308464.244869939
6606,2008-02-03,147773.162992896
6607,2008-02-04,259483.802434214
6608,2008-02-05,232228.950849101
6609,2008-02-06,233256.512578522
6610,2008-02-07,343621.535469408
6611,2008-02-08,0.0
6612,2008-02-09,207665.332364851
6613,2008-02-10,221072.566358246
6614,2008-02-11,279154.269825984
6615,2008-02-12,378803.291824339
6616,2008-02-13,870026.729998406
6617,2008-02-14,1036075.81232172
6618,2008-02-15,531004.75655593
6619,2008-02-16,149363.437097952
6620,2008-02-17,204631.578687514
6621,2008-02-18,440138.940768576
6622,2008-02-19,450487.955329171
6623,2008-02-20,261220.871072045
6624,2008-02-21,199493.77004041
6625,2008-02-22,515004.15248352
6626,2008-02-23,399378.992168218
6627,2008-02-24,389568.224227795
6628,2008-02-25,385482.443065574
6629,2008-02-26,194967.605279866
6630,2008-02-27,46117.949046624
6631,2008-02-28,244706.486134925
6632,2008-02-29,363732.386459501
6633,2008-03-01,294225.175190822
6634,2008-03-02,389348.032428634
6635,2008-03-03,80051.9518729728
6636,2008-03-04,0.0
6637,2008-03-05,318348.410076749
6638,2008-03-06,850772.180449498
6639,2008-03-07,941124.215372141
6640,2008-03-08,1337616.2483958
6641,2008-03-09,1111454.80490137
6642,2008-03-10,759392.583797434
6643,2008-03-11,809889.903071827
6644,2008-03-12,1484802.23325759
6645,2008-03-13,1767357.24309285
6646,2008-03-14,1836913.38587245
6647,2008-03-15,1950361.0939516
6648,2008-03-16,2301885.06843537
6649,2008-03-17,2266189.53121573
6650,2008-03-18,2095785.54442011
6651,2008-03-19,2359868.90888125
6652,2008-03-20,2595523.06549509
6653,2008-03-21,2990865.20801201
6654,2008-03-22,3026022.49861148
6655,2008-03-23,3266496.40905141
6656,2008-03-24,2839593.44198799
6657,2008-03-25,2990106.76959268
6658,2008-03-26,3256171.86024628
6659,2008-03-27,3556709.2003464
6660,2008-03-28,3352909.45734461
6661,2008-03-29,3420679.59997546
6662,2008-03-30,3433132.66950582
6663,2008-03-31,3310803.89219382
6664,2008-04-01,3352420.14223536
6665,2008-04-02,4289262.85040158
6666,2008-04-03,4432338.5883457
6667,2008-04-04,4048715.54269526
6668,2008-04-05,3862824.73269195
6669,2008-04-06,3744386.01049847
6670,2008-04-07,5229873.28490901
6671,2008-04-08,5499852.8964366
6672,2008-04-09,4080251.9014863
6673,2008-04-10,4046905.07679105
6674,2008-04-11,4199620.32238735
6675,2008-04-12,4022512.71859503
6676,2008-04-13,3997484.250757
6677,2008-04-14,3849857.88229688
6678,2008-04-15,3580343.12012308
6679,2008-04-16,3208806.15767107
6680,2008-04-17,3337129.04507136
6681,2008-04-18,3461048.09648842
6682,2008-04-19,3060984.06316725
6683,2008-04-20,2738231.81710727
6684,2008-04-21,2670804.1950529
6685,2008-04-22,2886641.08974219
6686,2008-04-23,2501501.16725309
